timezone,weekday
Pacific/Auckland,
Australia/Sydney,
Asia/Tokyo,
Asia/Manila,
Asia/Shanghai,
Asia/Calcutta,
Asia/Karachi,
Asia/Tehran,
Africa/Nairobi,
Africa/Johannesburg,
Europe/Helsinki,
Europe/Berlin,
Europe/Paris,
Europe/London,
Atlantic/Reykjavik,
Brazil/East,
Canada/Atlantic,
US/Eastern,
US/Central,
US/Mountain,
US/Pacific,
US/Alaska,
US/Hawaii,
